year,dpt,dpt_url,circo,circo_url,tour,date,nuance,nameLast,nameFirst,sexe,voix,pct_exprimes,elected
2024,08,008,1,01,1,2024-12-01,RN,Duflot,Jordan,M,8290,"39,12",0
2024,08,008,1,01,1,2024-12-01,SE,Vuibert,Lionel,M,5388,"25,43",0
2024,08,008,1,01,1,2024-12-01,LR,Maréchal,Guillaume,M,3399,"16,04",0
2024,08,008,1,01,1,2024-12-01,PS,Lerouge,Damien,M,2254,"10,64",0
2024,08,008,1,01,1,2024-12-01,SE,Talarico,Rémy,M,885,"4,18",0
2024,08,008,1,01,1,2024-12-01,CNIP,North,Bruno,M,292,"1,27",0
2024,08,008,1,01,1,2024-12-01,EEE,de Causans,Juliette,F,269,"1,27",0
2024,08,008,1,01,1,2024-12-01,EAC,d'Orgeville,Sonia,F,206,"0,97",0
2024,08,008,1,01,1,2024-12-01,LO,Takawé,Mink,F,197,"0,93",0
2024,08,008,1,01,1,2024-12-01,DEC,de Paris,Luca,M,11,"0,05",0
2024,08,008,1,01,1,2024-12-01,SE,Sandassi,Farouk Raphaël,M,0,0,0
2024,08,008,1,01,2,2024-12-08,RN,Duflot,Jordan,M,10228,"49,11",0
2024,08,008,1,01,2,2024-12-08,SE,Vuibert,Lionel,M,10600,"50,89",1
2025,38,038,1,01,1,2025-01-12,LFI,Louffok,Lyes,M,8495,"28,33",0
2025,38,038,1,01,1,2025-01-12,ENS,Galliard-Minier,Camille,F,7966,"26,57",0
2025,38,038,1,01,1,2025-01-12,LR,Béranger,Nathalie,F,5028,"16,77",0
2025,38,038,1,01,1,2025-01-12,UXD,Lacroix,Alexandre,M,3325,"11,09",0
2025,38,038,1,01,1,2025-01-12,DVC,Gerbi,Hervé,M,2313,"7,71",0
2025,38,038,1,01,1,2025-01-12,ECO,Offranc-Piret,Gaëlle,F,2279,"7,6",0
2025,38,038,1,01,1,2025-01-12,EXG,Adam,Rémi,M,220,"0,73",0
2025,38,038,1,01,1,2025-01-12,EXG,Anglade,Baptiste,M,174,"0,58",0
2025,38,038,1,01,1,2025-01-12,DIV,Périer,François-Marie,M,131,"0,44",0
2025,38,038,1,01,1,2025-01-12,EXG,Jarry,Martine,F,48,"0,16",0
2025,38,038,1,01,1,2025-01-12,DIV,Le Morzellec,Matthieu,M,2,"0,01",0
2025,38,038,1,01,2,2025-01-19,LFI,Louffok,Lyes,M,11211,"35,73",0
2025,38,038,1,01,2,2025-01-19,ENS,Galliard-Minier,Camille,F,20171,"64,28",1
2025,92,092,9,09,1,2025-02-02,LR,de Maistre,Élisabeth,F,7407,"38,17",0
2025,92,092,9,09,1,2025-02-02,HOR,de Jerphanion,Antoine,M,3631,"18,71",0
2025,92,092,9,09,1,2025-02-02,LÉ,Rapilly-Ferniot,Pauline,F,2684,"13,83",0
2025,92,092,9,09,1,2025-02-02,RE,Rossi,Laurianne,F,2645,"13,63",0
2025,92,092,9,09,1,2025-02-02,RN,Giammarresi,Matteo,M,1691,"8,71",0
2025,92,092,9,09,1,2025-02-02,NÉ,Tellini,Philippe,M,786,"4,05",0
2025,92,092,9,09,1,2025-02-02,LFN,Lang-Rousseau,Aloïs,M,240,"1,24",0
2025,92,092,9,09,1,2025-02-02,EQX,Nicolas,Erwan,M,236,"1,22",0
2025,92,092,9,09,1,2025-02-02,LO,Chaudon,Anne-Laure,F,65,"0,33",0
2025,92,092,9,09,1,2025-02-02,SE,Layly,Jean-Baptiste,M,12,"0,06",0
2025,92,092,9,09,1,2025-02-02,DEC,Lesteven,Marc,M,7,"0,04",0
2025,92,092,9,09,2,2025-02-09,LR,de Maistre,Élisabeth,F,9260,"59,65",1
2025,92,092,9,09,2,2025-02-09,HOR,de Jerphanion,Antoine,M,6264,"40,35",0
2025,39,039,2,02,1,2025-03-30,LR,Dalloz,Marie-Christine,F,11048,"54,1",0
2025,39,039,2,02,1,2025-03-30,RN,Guichon,Gilles,M,4648,"22,76",0
2025,39,039,2,02,1,2025-03-30,PCF,Ternant,Evelyne,F,3280,"16,06",0
2025,39,039,2,02,1,2025-03-30,UDR,Michaud,Emmanuel,M,1198,"5,87",0
2025,39,039,2,02,1,2025-03-30,LO,Marchet,Christian,M,246,"1,2",0
2025,39,039,2,02,2,2025-04-06,LR,Dalloz,Marie-Christine,F,13040,"73,76",1
2025,39,039,2,02,2,2025-04-06,RN,Guichon,Gilles,M,4640,"26,24",0
