mpId,nameFirst,nameLast,libelleAbrev,mandat,search,bluesky,pseudo,active
PA795228,Nadège,Abomangoli,LFI-NFP,1,https://bsky.app/search?q=Nad%C3%A8ge+Abomangoli,1,nadege-abomangoli.bsky.social,1
PA794278,Xavier,Albertini,HOR,1,https://bsky.app/search?q=Xavier+Albertini,0,,
PA793262,Laurent,Alexandre,LFI-NFP,1,https://bsky.app/search?q=Laurent+Alexandre,0,,
PA793992,Henri,Alfandari,HOR,1,https://bsky.app/search?q=Henri+Alfandari,0,,
PA841067,Alexandre,Allegret-Pilot,UDR,1,https://bsky.app/search?q=Alexandre+Allegret-Pilot,0,,
PA840665,Marie-José,Allemand,SOC,1,https://bsky.app/search?q=Marie-Jos%C3%A9+Allemand,0,,
PA793432,Franck,Allisio,RN,1,https://bsky.app/search?q=Franck+Allisio,0,,
PA841207,Charles,Alloncle,UDR,1,https://bsky.app/search?q=Charles+Alloncle,0,,
PA794906,Gabriel,Amard,LFI-NFP,1,https://bsky.app/search?q=Gabriel+Amard,1,gabrielamard.bsky.social,1
PA841495,Maxime,Amblard,RN,1,https://bsky.app/search?q=Maxime+Amblard,0,,
PA795950,David,Amiel,EPR,1,https://bsky.app/search?q=David+Amiel,0,,
PA794138,Ségolène,Amiot,LFI-NFP,1,https://bsky.app/search?q=S%C3%A9gol%C3%A8ne+Amiot,1,segoleneamiot.bsky.social,1
PA610968,Pouria,Amirshahi,ECOS,1,https://bsky.app/search?q=Pouria+Amirshahi,1,pouriaamirshahi.bsky.social,1
PA795588,Farida,Amrani,LFI-NFP,1,https://bsky.app/search?q=Farida+Amrani,1,faridaamrani.bsky.social,1
PA721158,Pieyre-Alexandre,Anglade,EPR,1,https://bsky.app/search?q=Pieyre-Alexandre+Anglade,0,,
PA795084,Rodrigo,Arenas,LFI-NFP,1,https://bsky.app/search?q=Rodrigo+Arenas,1,rodrigoarenas.bsky.social,1
PA795144,Antoine,Armand,EPR,1,https://bsky.app/search?q=Antoine+Armand,0,,
PA842105,Raphaël,Arnault,LFI-NFP,1,https://bsky.app/search?q=Rapha%C3%ABl+Arnault,1,arnaultraphael.bsky.social,1
PA793780,Christine,Arrighi,ECOS,1,https://bsky.app/search?q=Christine+Arrighi,1,christinearrighi.bsky.social,1
PA722190,Gabriel,Attal,EPR,1,https://bsky.app/search?q=Gabriel+Attal,1,gabriel-attal.bsky.social,0
PA588884,Clémentine,Autain,ECOS,1,https://bsky.app/search?q=Cl%C3%A9mentine+Autain,1,clementineautain.bsky.social,1
PA796118,Bénédicte,Auzanot,RN,1,https://bsky.app/search?q=B%C3%A9n%C3%A9dicte+Auzanot,0,,
PA642764,Joël,Aviragnet,SOC,1,https://bsky.app/search?q=Jo%C3%ABl+Aviragnet,0,,
PA841701,Léa,Balage El Mariky,ECOS,1,https://bsky.app/search?q=L%C3%A9a+Balage%20El%20Mariky,1,leabalage.bsky.social,1
PA719558,Erwan,Balanant,DEM,1,https://bsky.app/search?q=Erwan+Balanant,1,erwanbalanant.bsky.social,1
PA794562,Philippe,Ballard,RN,1,https://bsky.app/search?q=Philippe+Ballard,0,,
PA842279,Anchya,Bamana,RN,1,https://bsky.app/search?q=Anchya+Bamana,0,,
PA720256,Géraldine,Bannier,DEM,1,https://bsky.app/search?q=G%C3%A9raldine+Bannier,0,,
PA643143,Christian,Baptiste,SOC,1,https://bsky.app/search?q=Christian+Baptiste,0,,
PA267561,Brigitte,Barèges,UDR,1,https://bsky.app/search?q=Brigitte+Bar%C3%A8ges,0,,
PA721836,Jean-Noël,Barrot,DEM,0,https://bsky.app/search?q=Jean-No%C3%ABl+Barrot,1,jnbarrot.bsky.social,1
PA793238,Christophe,Barthès,RN,1,https://bsky.app/search?q=Christophe+Barth%C3%A8s,0,,
PA840829,Fabrice,Barusseau,SOC,1,https://bsky.app/search?q=Fabrice+Barusseau,0,,
PA267763,Jean-Pierre,Bataille,LIOT,1,https://bsky.app/search?q=Jean-Pierre+Bataille,0,,
PA335999,Delphine,Batho,ECOS,1,https://bsky.app/search?q=Delphine+Batho,1,delphinebatho.bsky.social,1
