département;circonscription;sexe;nom;Parti Politique;Mail;Facebook;;Twitter
Ain;1ère circonscription;Monsieur;Xavier Breton;LR;xavier.breton@assemblee-nationale.fr;https://fr-fr.facebook.com/xavierbreton01/;@bretonxavier;https://twitter.com/@bretonxavier
Ain;2ème circonscription;Monsieur;Charles de la Verpillière;LR;charles.delaverpilliere@assemblee-nationale.fr;https://fr-fr.facebook.com/charlesdelaverpilliere/;@delaverpilliere;https://twitter.com/@delaverpilliere
Ain;3ème circonscription;Madame;Olga Givernet;LREM;olga.givernet@assemblee-nationale.fr;https://fr-fr.facebook.com/Page-politique-dOlga-Givernet-1118292008192135/;@OlgaGivernet;https://twitter.com/@OlgaGivernet
Ain;4ème circonscription;Monsieur;Stéphane Trompille;LREM;stephane.trompille@assemblee-nationale.fr;https://www.facebook.com/stTrompille;@S_Trompille;https://twitter.com/@S_Trompille
Ain;5ème circonscription;Monsieur;Damien Abad;LR;damien.abad@assemblee-nationale.fr;https://www.facebook.com/damienabad.depute;@damienabad;https://twitter.com/@damienabad
Aisne;1ère circonscription;Madame;Aude Bono-Vandorme;LREM;aude.bono-vandorme@assemblee-nationale.fr;https://fr-fr.facebook.com/ABonoVandorme/;@AudeBono;https://twitter.com/@AudeBono
Aisne;2ème circonscription;Monsieur;Julien Dive;LR;julien.dive@assemblee-nationale.fr;Pas de compte Facebook;@juliendive;https://twitter.com/@juliendive
Aisne;3ème circonscription;Monsieur;Jean-Louis Bricout;PS;jean-louis.bricout@assemblee-nationale.fr;Pas de compte Facebook;@jlbricout;https://twitter.com/@jlbricout
Aisne;4ème circonscription;Monsieur;Marc Delatte;LREM;marc.delatte@assemblee-nationale.fr;https://fr-fr.facebook.com/marc.delatte.aisne/;@MarcDelatte;https://twitter.com/@MarcDelatte
Aisne;5ème circonscription;Monsieur;Jacques Krabal;LREM;jacques.krabal@assemblee-nationale.fr;https://www.facebook.com/JKrabal/;@JKrabal;https://twitter.com/@JKrabal
Allier;1ère circonscription;Monsieur;Jean-Paul Dufrègne;GDR;jean-paul.dufregne@assemblee-nationale.fr;https://fr-fr.facebook.com/Dufregne2017/;@JP_Dufregne;https://twitter.com/@JP_Dufregne
Allier;2ème circonscription;Madame;Laurence Vanceunebrock;LREM;laurence.vanceunebrock-mialon@assemblee-nationale.fr;https://fr-fr.facebook.com/LaurenceVanceunebrockMialon/;@LaurenceVanceu;https://twitter.com/@LaurenceVanceu
Allier;3ème circonscription;Madame;Bénédicte Peyrol;LREM;benedicte.peyrol@assemblee-nationale.fr;https://fr-fr.facebook.com/BPeyrolREM0303/;@B_Peyrol;https://twitter.com/@B_Peyrol
Alpes-de-Haute-Provence;1ère circonscription;Madame;Delphine Bagarry;non inscrit;delphine.bagarry@assemblee-nationale.fr;https://fr-fr.facebook.com/delphinebagarry04/;@DBagarry;https://twitter.com/@DBagarry
Alpes-de-Haute-Provence;2ème circonscription;Monsieur;Christophe Castaner;LREM;christophe.castaner@assemblee-nationale.fr;https://www.facebook.com/christophe.castaner;@CCastaner;https://twitter.com/@CCastaner
Alpes-Maritimes;1ère circonscription;Monsieur;Éric Ciotti;LR;eric.ciotti@assemblee-nationale.fr;https://fr-fr.facebook.com/ECIOTTI/;@ECiotti;https://twitter.com/@ECiotti
Alpes-Maritimes;2ème circonscription;Monsieur;Loïc Dombreval;LREM;loic.dombreval@assemblee-nationale.fr;https://www.facebook.com/LoicDombreval;@loicdombreval;https://twitter.com/@loicdombreval
Alpes-Maritimes;3ème circonscription;Monsieur;Cédric Roussel;LREM;cedric.roussel@assemblee-nationale.fr;https://fr-fr.facebook.com/CRoussel06/;@CedricRoussel06;https://twitter.com/@CedricRoussel06
Alpes-Maritimes;4ème circonscription;Madame;Alexandra Valetta Ardisson;LREM;alexandra.ardisson@assemblee-nationale.fr;https://www.facebook.com/aardisson;@A_Ardisson;https://twitter.com/@A_Ardisson
Alpes-Maritimes;5ème circonscription;Madame;Marine Brenier;LR;marine.brenier@assemblee-nationale.fr;https://fr-fr.facebook.com/marine.brenier/;@marinebrenier;https://twitter.com/@marinebrenier
Alpes-Maritimes;6ème circonscription;Madame;Laurence Trastour-Isnart;LR;laurence.trastour-isnart@assemblee-nationale.fr;https://fr-fr.facebook.com/trastour2017/;@trastour2017;https://twitter.com/@trastour2017
Alpes-Maritimes;7ème circonscription;Monsieur;Éric Pauget;LR;eric.pauget@assemblee-nationale.fr;https://fr-fr.facebook.com/PaugetDepute/;@EricPAUGET1;https://twitter.com/@EricPAUGET1
Alpes-Maritimes;8ème circonscription;Monsieur;Bernard Brochand;LR;bernard.brochand@assemblee-nationale.fr;https://www.facebook.com/bbrochand2017/;Pas de compte Twitter;Pas de compte Twitter
Alpes-Maritimes;9ème circonscription;Madame;Michèle Tabarot;LR;michele.tabarot@assemblee-nationale.fr;https://www.facebook.com/MTabarot/;@MTabarot;https://twitter.com/@MTabarot
Ardèche;1ère circonscription;Monsieur;Hervé Saulignac;PS;herve.saulignac@assemblee-nationale.fr;https://fr-fr.facebook.com/herve.saulignac/;@hsaulignac;https://twitter.com/@hsaulignac
Ardèche;2ème circonscription;Madame;Michèle Victory;PS;michele.victory@assemblee-nationale.fr;https://www.facebook.com/michele.victory.5?lst=100002836393141%3A1624095486%3A1514397591;Pas de compte Twitter;Pas de compte Twitter
Ardèche;3ème circonscription;Monsieur;Fabrice Brun;LR;fabrice.brun@assemblee-nationale.fr;https://fr-fr.facebook.com/FabriceBrunArdeche/;@FabriceBrun;https://twitter.com/@FabriceBrun
Ardennes;1ère circonscription;Madame;Bérengère Poletti;LR;berengere.poletti@assemblee-nationale.fr;https://www.facebook.com/Bérengère-Poletti-législatives-2017-103947043508517/;@poletti_b;https://twitter.com/@poletti_b
Ardennes;2ème circonscription;Monsieur;Pierre Cordier;LR;pierre.cordier@assemblee-nationale.fr;https://fr-fr.facebook.com/pierre.cordier.1004/;@CORDIERPierre08;https://twitter.com/@CORDIERPierre08
Ardennes;3ème circonscription;Monsieur;Jean-Luc Warsmann;UDI;jean-luc.warsmann@assemblee-nationale.fr;https://www.facebook.com/warsmann/;@warsmann;https://twitter.com/@warsmann
Ariège;1ère circonscription;Madame;Bénédicte Taurine;FI;benedicte.taurine@assemblee-nationale.fr;https://www.facebook.com/TaurineBenedicte/;@BenedictTaurine;https://twitter.com/@BenedictTaurine
Ariège;2ème circonscription;Monsieur;Michel Larive;FI;michel.larive@assemblee-nationale.fr;https://fr-fr.facebook.com/FI.09.02/;@Michel_Larive;https://twitter.com/@Michel_Larive
Aube;1ère circonscription;Monsieur;Grégory Besson-Moreau;LREM;gregory.besson-moreau@assemblee-nationale.fr;https://fr-fr.facebook.com/GBessonMoreau/;@GBessonMoreau;https://twitter.com/@GBessonMoreau
Aube;2ème circonscription;Madame;Valérie Bazin-Malgras;LR;valerie.bazin-malgras@assemblee-nationale.fr;https://www.facebook.com/VBazinMalgras;@vbazinmalgras;https://twitter.com/@vbazinmalgras
Aube;3ème circonscription;Monsieur;Gérard Menuel;LR;gerard.menuel@assemblee-nationale.fr;https://www.facebook.com/gerardmenuel;Pas de compte Twitter;Pas de compte Twitter
Aude;1ère circonscription;Madame;Danièle Hérin;LREM;daniele.herin@assemblee-nationale.fr;https://www.facebook.com/herindaniele;@Daniele_herin;https://twitter.com/@Daniele_herin
