nameFirst,nameLast,mpId,twitter,active
Jean-Yves,Bony,PA266793,,1
Joël,Giraud,PA267336,@JoelGiraud05,1
Véronique,Besse,PA309643,@veroniquebesse,1
Élisa,Martin,PA342384,@ElisaMartinGre,1
Bertrand,Petit,PA344201,,1
Nicolas,Sansu,PA605745,@NicolasSansu,1
Laurent,Marcangeli,PA605782,@LMarcangeli,1
Hervé,de Lépinau,PA642988,@HdeLepinau,1
Brigitte,Klinkert,PA643184,@KlinkertBrigitt,1
Soumya,Bourouaha,PA720838,@S_Bourouaha,1
Jiovanny,William,PA720992,@WilliamJiovanny,1
Christelle,Petex-Levet,PA721442,@ChristellePetex,1
Patricia,Lemoine,PA721632,@P_Lemoine,1
Hadrien,Ghomi,PA721722,@HadrienGhomi,1
Sophie,Taillé-Polian,PA736201,@STaillePolian,1
Mikaele,Seo,PA757225,,1
Victor,Habert-Dassault,PA783457,,1
Sophia,Chikirou,PA791812,@chikirouparis,1
Sarah,Legrain,PA791824,@slegrain75,1
Nicolas,Ray,PA793094,@NicolasRay03,1
Christian,Girard,PA793102,,1
Romain,Daubié,PA793122,@romaindaubie,1
Nicolas,Dragon,PA793146,@NicolasDragon,1
Yannick,Monnet,PA793174,@YannickMonnet3,1
Laurence,Heydel Grillere,PA793190,@LHeydelGrillere,1
Lionel,Vuibert,PA793194,@LionelVuibert,1
Laurent,Panifous,PA793210,,1
Christophe,Barthès,PA793238,@BarthesChristop,1
Frédéric,Falcon,PA793246,@FalconFrederic,1
Julien,Rancoule,PA793254,@J_Rancoule,1
Jean-François,Rousset,PA793270,@JF_Rousset2,1
Philippe,Pradal,PA793306,@p_pradal,1
Alexandra,Masson,PA793314,@A_Masson06,1
Christelle,D'Intorni,PA793322,@C_Dintorni,1
Alexandra,Martin,PA793342,@MartinAlex06,1
Joëlle,Mélin,PA793354,@JoelleMelinRN,1
José,Gonzalez,PA793362,@Jose_GonzalezFN,1
Romain,Baubry,PA793374,@BaubryR,1
Emmanuel,Taché de la Pagerie,PA793382,,1
Jérémie,Patrier-Leitus,PA793398,@JPatrierLeitus,1
Francis,Dubois,PA793476,,1
Hubert,Brigand,PA793508,,1
Mickaël,Cosson,PA793520,,1
Murielle,Lepvraud,PA793532,@MLepvraud,1
Anne-Laure,Babault,PA793560,@BabaultAlaure17,1
Nicolas,Pacquot,PA793588,@Nicolas_Pacquot,1
Katiana,Levavasseur,PA793608,,1
Lisette,Pollet,PA793656,@LisettePollet,1
Christine,Loir,PA793672,@ChristineLoirRN,1
Catherine,Couturier,PA793680,,1
Pascale,Martin,PA793688,@PascaleMartin24,1
Serge,Muller,PA793696,@muller49_muller,1
Sébastien,Peytavie,PA793708,@speytavie,1
Michel,Sala,PA793724,@AvecMichelSala,1
Anne,Stambach-Terrenoir,PA793744,@Anne_Stambach,1
Christophe,Bex,PA793772,@ChristopheBex,1
Christine,Arrighi,PA793780,@ChArrighi,1
Pascale,Bordes,PA793844,,1
Laurence,Cristol,PA793876,@LaurenceCristol,1
Stéphanie,Galzy,PA793892,@GalzyStephanie,1
Nicolas,Thierry,PA793948,@nthierry,1
Henri,Alfandari,PA793992,@Henri_Alfandari,1
Servane,Hugues,PA794004,@ServaneHugues,1
Cyrielle,Chatelain,PA794008,@Cyrielle_Chtl,1
Justine,Gruet,PA794058,@JustineGruet,1
Frédéric,Mathieu,PA794066,@frdric_mathieu,1
Mathilde,Hignet,PA794082,@MathildeHignet,1
Andrée,Taurinya,PA794106,@AndreeTaurinya,1
Emmanuel,Mandon,PA794114,@EmmanuelMandon,1
Andy,Kerbrat,PA794130,@AndyKerbrat2022,1
Jean-Claude,Raux,PA794154,@JeanClaudeRaux,1
Jean-Pierre,Taite,PA794178,@JPIerre_Taite,1
Roger,Chudeau,PA794198,@ChudeauR,1
Christophe,Marion,PA794206,@MarionDepute41,1
Annick,Cousin,PA794222,@AnnickCousin_RN,1
François,Gernigon,PA794234,@F_Gernigon,1
Anna,Pic,PA794270,@PicAnna3,1
Xavier,Albertini,PA794278,@xavieralbertini,1
Thomas,Ménagé,PA794322,@Thomas_Mng,1
Anthony,Brosse,PA794330,@BrosseAnthony,1
Hélène,Laporte,PA794354,@HeleneLaporteRN,1
Lysiane,Métayer,PA794386,@Lysiane_Metayer,1
Charlotte,Leduc,PA794402,@CharlotteLeducV,1
Vincent,Seitlinger,PA794410,@vseitlinger,1
Florence,Goulet,PA794418,@FlorenceGoulet4,1
Laurence,Robert-Dehault,PA794442,@LRDehault,1
Emmanuel,Lacresse,PA794450,@E_LACRESSE,1
Martine,Etienne,PA794458,@MartineEtienne_,1
Félicie,Gérard,PA794470,@FelicieGerard,1
Roger,Vicot,PA794494,@rvicot,1
Christine,Decodts,PA794510,,1
Matthieu,Marchio,PA794530,@MarchioMatthieu,1
Thibaut,François,PA794538,@thib_francois,1
Jean-Marc,Tellier,PA794650,@jeanmarctellier,1
Philippe,Fait,PA794658,@jeanmarctellier,1
Thierry,Frappé,PA794678,@thierry_frappe,1
Marianne,Maximi,PA794686,@MarianneMaximi,1
Christine,Engrand,PA794718,@Cengrand_RN,1
Sandrine,Dogor-Such,PA794762,@Sandrine_Dogor,1
Michèle,Martinez,PA794770,,1
Françoise,Buffet,PA794798,,1
Charles,Sitzenstuhl,PA794802,@CSitzenstuhl,1
Louise,Morel,PA794810,@LouiseMorel11,1
Stéphanie,Kochert,PA794818,@StephanieKoche6,1
Inaki,Echaniz,PA794854,@Inakiechaniz,1
Sylvie,Ferrer,PA794870,@FerrerSylvie11,1
Anaïs,Sabatini,PA794894,@Anais_Sabatini,1
Idir,Boumertit,PA794938,@AltavoixBoumert,1
Emeric,Salmon,PA794954,@EmericSalmon,1
Alexandre,Portier,PA794994, ,1
Marie-Charlotte,Garin,PA795010,@MC_Garin,1
Caroline,Yadan,PA795046,@CarolineYADAN,1
Astrid,Panosyan-Bouvet,PA795050,@AstridPanosyan,1
Clara,Chassaniol,PA795068,@Cl_Chassaniol,1
Éric,Martineau,PA795100,"@EricMartineau72",1
Élise,Leboucher,PA795108,@leboucher_elise,1
Marina,Ferrari,PA795120,,1
Antoine,Armand,PA795144,@antoine_armand,1
Fatiha,Keloua Hachi,PA795156,@KelouaF,1
Tematai,Le Gayic,PA795184,,1
Steve,Chailloux,PA795192,,1
Jean-François,Lovisolo,PA795216,,1
Stéphane,Lenormand,PA795244,@StphaneLenorma1,1
Eléonore,Caroit,PA795330,@CaroitEleonore,1
Pascal,Lecamp,PA795374,,1
Mathieu,Lefèvre,PA795386,@MathieuMlefevre,1
Rachel,Keke,PA795438,@KekeRachel,1
Karim,Ben Cheikh,PA795454,@K_BenCheikh,1
Émilie,Chandler,PA795508,@EmilieChandler,1
Maxime,Laisney,PA795516,@MaximeLaisneyFi,1
Charles,Rodwell,PA795528,@charlesrodwell_,1
Daniel,Grenon,PA795540,@DanielGrenon89,1
Florian,Chauche,PA795580,@FlorianChauche9,1
Farida,Amrani,PA795588,@Farida_Amrani_,1
Benjamin,Lucas,PA795636,@Benjam1Lucas,1
Nathalie,Da Conceicao Carvalho,PA795644,@NathCarvalho91,1
Arnaud,Le Gall,PA795672,@Arnaud_Le_Gall_,1
Elie,Califer,PA795762,@ElieCalifer2022,1
Francesca,Pasquini,PA795794,@FMPasquini,1
Sabrina,Sebaihi,PA795808,@SabrinaSebaihi,1
Marcellin,Nadeau,PA795820,,1
Johnny,Hajjar,PA795828,@DeputeHajjar,1
Karen,Erodi,PA795844,@KarenErodi,1
Jean-Victor,Castor,PA795868,@CASTORJeanVict1,1
Davy,Rimane,PA795876,@DavyRimane,1
Marine,Hamelet,PA795900,@marine_hamelet,1
