nameFirst,nameLast,mpId,twitter,active
Jean-Yves,Bony,PA266793,,1
Joël,Giraud,PA267336,@JoelGiraud05,1
Véronique,Besse,PA309643,@veroniquebesse,1
Élisa,Martin,PA342384,@ElisaMartinGre,1
Bertrand,Petit,PA344201,NULL,1
Nicolas,Sansu,PA605745,NULL,1
Laurent,Marcangeli,PA605782,NULL,1
Hervé,de Lépinau,PA642988,NULL,1
Brigitte,Klinkert,PA643184,NULL,1
Soumya,Bourouaha,PA720838,NULL,1
Jiovanny,William,PA720992,NULL,1
Christelle,Petex-Levet,PA721442,NULL,1
Patricia,Lemoine,PA721632,NULL,1
Hadrien,Ghomi,PA721722,NULL,1
Sophie,Taillé-Polian,PA736201,NULL,1
Mikaele,Seo,PA757225,NULL,1
Victor,Habert-Dassault,PA783457,NULL,1
Sophia,Chikirou,PA791812,NULL,1
Sarah,Legrain,PA791824,NULL,1
Nicolas,Ray,PA793094,NULL,1
Christian,Girard,PA793102,NULL,1
Romain,Daubié,PA793122,NULL,1
Nicolas,Dragon,PA793146,NULL,1
Yannick,Monnet,PA793174,NULL,1
Laurence,Heydel Grillere,PA793190,NULL,1
Lionel,Vuibert,PA793194,NULL,1
Laurent,Panifous,PA793210,NULL,1
Christophe,Barthès,PA793238,NULL,1
Frédéric,Falcon,PA793246,NULL,1
Julien,Rancoule,PA793254,NULL,1
Jean-François,Rousset,PA793270,NULL,1
Philippe,Pradal,PA793306,NULL,1
Alexandra,Masson,PA793314,NULL,1
Christelle,D'Intorni,PA793322,NULL,1
Alexandra,Martin,PA793342,NULL,1
Joëlle,Mélin,PA793354,NULL,1
José,Gonzalez,PA793362,NULL,1
Romain,Baubry,PA793374,NULL,1
Emmanuel,Taché de la Pagerie,PA793382,NULL,1
Jérémie,Patrier-Leitus,PA793398,NULL,1
Francis,Dubois,PA793476,NULL,1
Hubert,Brigand,PA793508,NULL,1
Mickaël,Cosson,PA793520,NULL,1
Murielle,Lepvraud,PA793532,NULL,1
Anne-Laure,Babault,PA793560,NULL,1
Nicolas,Pacquot,PA793588,NULL,1
Katiana,Levavasseur,PA793608,NULL,1
Lisette,Pollet,PA793656,NULL,1
Christine,Loir,PA793672,NULL,1
Catherine,Couturier,PA793680,NULL,1
Pascale,Martin,PA793688,NULL,1
Serge,Muller,PA793696,NULL,1
Sébastien,Peytavie,PA793708,NULL,1
Michel,Sala,PA793724,NULL,1
Anne,Stambach-Terrenoir,PA793744,NULL,1
Christophe,Bex,PA793772,NULL,1
Christine,Arrighi,PA793780,NULL,1
Pascale,Bordes,PA793844,NULL,1
Laurence,Cristol,PA793876,NULL,1
Stéphanie,Galzy,PA793892,NULL,1
Nicolas,Thierry,PA793948,NULL,1
Henri,Alfandari,PA793992,NULL,1
Servane,Hugues,PA794004,NULL,1
Cyrielle,Chatelain,PA794008,NULL,1
Justine,Gruet,PA794058,NULL,1
Frédéric,Mathieu,PA794066,NULL,1
Mathilde,Hignet,PA794082,NULL,1
Andrée,Taurinya,PA794106,NULL,1
Emmanuel,Mandon,PA794114,NULL,1
Andy,Kerbrat,PA794130,NULL,1
Jean-Claude,Raux,PA794154,NULL,1
Jean-Pierre,Taite,PA794178,NULL,1
Roger,Chudeau,PA794198,NULL,1
Christophe,Marion,PA794206,NULL,1
Annick,Cousin,PA794222,NULL,1
François,Gernigon,PA794234,NULL,1
Anna,Pic,PA794270,NULL,1
Xavier,Albertini,PA794278,NULL,1
Thomas,Ménagé,PA794322,NULL,1
Anthony,Brosse,PA794330,NULL,1
Hélène,Laporte,PA794354,NULL,1
Lysiane,Métayer,PA794386,NULL,1
Charlotte,Leduc,PA794402,NULL,1
Vincent,Seitlinger,PA794410,NULL,1
Florence,Goulet,PA794418,NULL,1
Laurence,Robert-Dehault,PA794442,NULL,1
Emmanuel,Lacresse,PA794450,NULL,1
Martine,Etienne,PA794458,NULL,1
Félicie,Gérard,PA794470,NULL,1
Roger,Vicot,PA794494,NULL,1
Christine,Decodts,PA794510,NULL,1
Matthieu,Marchio,PA794530,NULL,1
Thibaut,François,PA794538,NULL,1
Jean-Marc,Tellier,PA794650,NULL,1
Philippe,Fait,PA794658,NULL,1
Thierry,Frappé,PA794678,NULL,1
Marianne,Maximi,PA794686,NULL,1
Christine,Engrand,PA794718,NULL,1
Sandrine,Dogor-Such,PA794762,NULL,1
Michèle,Martinez,PA794770,NULL,1
Françoise,Buffet,PA794798,NULL,1
Charles,Sitzenstuhl,PA794802,NULL,1
Louise,Morel,PA794810,NULL,1
Stéphanie,Kochert,PA794818,NULL,1
Inaki,Echaniz,PA794854,NULL,1
Sylvie,Ferrer,PA794870,NULL,1
Anaïs,Sabatini,PA794894,NULL,1
Idir,Boumertit,PA794938,NULL,1
Emeric,Salmon,PA794954,NULL,1
Alexandre,Portier,PA794994,NULL,1
Marie-Charlotte,Garin,PA795010,NULL,1
Caroline,Yadan,PA795046,NULL,1
Astrid,Panosyan-Bouvet,PA795050,NULL,1
Clara,Chassaniol,PA795068,NULL,1
Éric,Martineau,PA795100,NULL,1
Élise,Leboucher,PA795108,NULL,1
Marina,Ferrari,PA795120,NULL,1
Antoine,Armand,PA795144,NULL,1
Fatiha,Keloua Hachi,PA795156,NULL,1
Tematai,Le Gayic,PA795184,NULL,1
Steve,Chailloux,PA795192,NULL,1
Jean-François,Lovisolo,PA795216,NULL,1
Stéphane,Lenormand,PA795244,NULL,1
Eléonore,Caroit,PA795330,NULL,1
Pascal,Lecamp,PA795374,NULL,1
Mathieu,Lefèvre,PA795386,NULL,1
Rachel,Keke,PA795438,NULL,1
Karim,Ben Cheikh,PA795454,NULL,1
Émilie,Chandler,PA795508,NULL,1
Maxime,Laisney,PA795516,NULL,1
Charles,Rodwell,PA795528,NULL,1
Daniel,Grenon,PA795540,NULL,1
Florian,Chauche,PA795580,NULL,1
Farida,Amrani,PA795588,NULL,1
Benjamin,Lucas,PA795636,NULL,1
Nathalie,Da Conceicao Carvalho,PA795644,NULL,1
Arnaud,Le Gall,PA795672,NULL,1
Elie,Califer,PA795762,NULL,1
Francesca,Pasquini,PA795794,NULL,1
Sabrina,Sebaihi,PA795808,NULL,1
Marcellin,Nadeau,PA795820,NULL,1
Johnny,Hajjar,PA795828,NULL,1
Karen,Erodi,PA795844,NULL,1
Jean-Victor,Castor,PA795868,NULL,1
Davy,Rimane,PA795876,NULL,1
Marine,Hamelet,PA795900,NULL,1
Yannick,Chenevard,PA795908,NULL,1
Laure,Lavalette,PA795912,NULL,1
Emmanuel,Pellerin,PA795926,NULL,1
Claire,Guichard,PA795934,NULL,1
Maud,Bregeon,PA795990,NULL,1
Emeline,K/Bidi,PA795998,NULL,1
Frédéric,Maillot,PA796010,NULL,1
Perceval,Gaillard,PA796070,NULL,1
Joris,Hébrard,PA796110,NULL,1
Bénédicte,Auzanot,PA796118,NULL,1
